tile.stone, ID = 1
tile.grass, ID = 2
tile.dirt, ID = 3
tile.stonebrick, ID = 4
tile.wood, ID = 5
tile.sapling, ID = 6
tile.bedrock, ID = 7
tile.water, ID = 8
tile.water, ID = 9
tile.lava, ID = 10
tile.lava, ID = 11
tile.sand, ID = 12
tile.gravel, ID = 13
tile.oreGold, ID = 14
tile.oreIron, ID = 15
tile.oreCoal, ID = 16
tile.log, ID = 17
tile.leaves, ID = 18
tile.sponge, ID = 19
tile.glass, ID = 20
tile.oreLapis, ID = 21
tile.blockLapis, ID = 22
tile.dispenser, ID = 23
tile.sandStone, ID = 24
tile.musicBlock, ID = 25
tile.bed, ID = 26
tile.goldenRail, ID = 27
tile.detectorRail, ID = 28
tile.pistonStickyBase, ID = 29
tile.web, ID = 30
tile.tallgrass, ID = 31
tile.deadbush, ID = 32
tile.pistonBase, ID = 33
tile.null, ID = 34
tile.cloth, ID = 35
tile.null, ID = 36
tile.flower, ID = 37
tile.rose, ID = 38
tile.mushroom, ID = 39
tile.mushroom, ID = 40
tile.blockGold, ID = 41
tile.blockIron, ID = 42
tile.stoneSlab, ID = 43
tile.stoneSlab, ID = 44
tile.brick, ID = 45
tile.tnt, ID = 46
tile.bookshelf, ID = 47
tile.stoneMoss, ID = 48
tile.obsidian, ID = 49
tile.torch, ID = 50
tile.fire, ID = 51
tile.mobSpawner, ID = 52
tile.stairsWood, ID = 53
tile.chest, ID = 54
tile.redstoneDust, ID = 55
tile.oreDiamond, ID = 56
tile.blockDiamond, ID = 57
tile.workbench, ID = 58
tile.crops, ID = 59
tile.farmland, ID = 60
tile.furnace, ID = 61
tile.furnace, ID = 62
tile.sign, ID = 63
tile.doorWood, ID = 64
tile.ladder, ID = 65
tile.rail, ID = 66
tile.stairsStone, ID = 67
tile.sign, ID = 68
tile.lever, ID = 69
tile.pressurePlate, ID = 70
tile.doorIron, ID = 71
tile.pressurePlate, ID = 72
tile.oreRedstone, ID = 73
tile.oreRedstone, ID = 74
tile.notGate, ID = 75
tile.notGate, ID = 76
tile.button, ID = 77
tile.snow, ID = 78
tile.ice, ID = 79
tile.snow, ID = 80
tile.cactus, ID = 81
tile.clay, ID = 82
tile.reeds, ID = 83
tile.jukebox, ID = 84
tile.fence, ID = 85
tile.pumpkin, ID = 86
tile.hellrock, ID = 87
tile.hellsand, ID = 88
tile.lightgem, ID = 89
tile.portal, ID = 90
tile.litpumpkin, ID = 91
tile.cake, ID = 92
tile.diode, ID = 93
tile.diode, ID = 94
tile.lockedchest, ID = 95
tile.trapdoor, ID = 96
tile.monsterStoneEgg, ID = 97
tile.stonebricksmooth, ID = 98
tile.mushroom, ID = 99
tile.mushroom, ID = 100
tile.fenceIron, ID = 101
tile.thinGlass, ID = 102
